Indices,Distance,Amplitude,Flag,X,Y,Z,Timestamp
2,2.4246979,163.78087,1,2.3084643,0.7417224,0.0,989929
1,1.9853363,140.46402,64,1.7247403,0.98327583,0.0,989929
0,0.3453064,570.4265,9,0.25836945,0.22908892,0.0,989929
7,0.71932983,552.7022,9,0.53822595,-0.47722977,0.0,990138
6,1.5779877,169.11562,1,1.3708603,-0.7815286,0.0,990138
5,2.8246613,127.6109,1,2.6892545,-0.8640724,0.0,990138
4,2.5890808,227.66714,1,2.5751913,-0.2678237,0.0,990138
3,2.4335785,297.44345,1,2.4205232,0.25173798,0.0,990138
2,2.400299,206.57375,1,2.2852352,0.7342587,0.0,990138
1,2.0742188,167.1422,1,1.8019559,1.0272965,0.0,990138
0,1.7577515,299.7156,1,1.3152068,1.1661568,0.0,990138
7,4.145996,48.794426,1,3.1021688,-2.7506058,0.0,990347
6,3.4823608,68.02875,1,3.0252647,-1.7247059,0.0,990347
5,2.8736115,98.92769,1,2.7358582,-0.87904644,0.0,990347
4,2.608673,180.30257,1,2.5946784,-0.2698504,0.0,990347
3,2.450058,236.58623,1,2.4369142,0.25344267,0.0,990347
2,2.317566,206.16733,1,2.206468,0.7089504,0.0,990347
1,1.4462128,293.32956,1,1.2563822,0.71626455,0.0,990347
0,1.6062317,443.36215,1,1.2018347,1.0656329,0.0,990347
7,1.6071777,44.026062,64,1.2025425,-1.0662606,0.0,990556
6,4.454956,41.145702,64,3.8701966,-2.2064023,0.0,990556
5,3.5811005,61.31674,64,3.4094322,-1.0954695,0.0,990556
4,2.6998444,123.04842,1,2.6853607,-0.27928147,0.0,990556
3,1.8646698,254.37036,1,1.8546665,0.19288805,0.0,990556
2,1.3506317,361.89694,1,1.285886,0.41316232,0.0,990556
1,1.2970734,509.03198,9,1.126819,0.64240044,0.0,990556
0,0.6524048,546.97723,9,0.48815045,0.43282923,0.0,990556
7,1.5335083,166.57028,1,1.1474206,-1.0173856,0.0,990765
6,1.4861908,138.29951,1,1.2911128,-0.73606443,0.0,990765
5,4.3005524,39.4917,64,4.0943956,-1.315552,0.0,990765
4,2.6656952,89.34656,1,2.6513946,-0.27574897,0.0,990765
3,1.7418213,379.9665,1,1.732477,0.18018018,0.0,990765
2,1.279541,295.84784,1,1.2182032,0.39141545,0.0,990765
1,0.62467957,215.09665,1,0.54268384,0.30938452,0.0,990765
0,0.6161957,566.2047,9,0.4610576,0.4088068,0.0,990765
7,0.7296448,543.48346,9,0.5459439,-0.48407307,0.0,990974
6,1.3534088,345.8937,1,1.1757598,-0.6703016,0.0,990974
5,1.2056732,162.54646,1,1.1478765,-0.3688191,0.0,990974
4,0.750824,184.35173,1,0.7467961,-0.07766789,0.0,990974
3,0.67533875,467.0509,9,0.6717158,0.06985944,0.0,990974
2,0.30940247,509.84137,9,0.29457054,0.09464715,0.0,990974
1,0.53816223,552.0145,9,0.46752283,0.26653516,0.0,990974
0,0.5787201,569.4822,9,0.43301716,0.38394412,0.0,990974
7,0.7281952,551.3367,9,0.5448593,-0.48311138,0.0,991183
6,0.7028961,521.1269,9,0.6106337,-0.34812278,0.0,991183
5,1.0740967,180.1958,64,1.0226073,-0.3285694,0.0,991183
4,0.7216797,289.80862,1,0.7178081,-0.074653104,0.0,991183
3,0.6004944,524.10486,9,0.59727293,0.062117267,0.0,991183
2,0.3129425,529.5728,9,0.29794088,0.09573006,0.0,991183
1,0.48188782,539.72845,9,0.418635,0.23866417,0.0,991183
